Student,Criteria,Ratings,Points ,Points Awarded,Final Grade ,Feedback 
Student_8,Correctness/Style,Code is stylistically correct and works as planned.,25,20,80,"You demonstrated consistency across all areas, but each had small gaps. Pay special attention to query optimization and analysis depth."
Student_8,Analytical Detail,"Analysis includes appropriate statistical tests, model performance metrics, and clear visual exploratory data analysis.",25,20,80,"You demonstrated consistency across all areas, but each had small gaps. Pay special attention to query optimization and analysis depth."
Student_8,Checkpoint Completion,All checkpoints were submitted on time.,25,20,80,"You demonstrated consistency across all areas, but each had small gaps. Pay special attention to query optimization and analysis depth."
Student_9,Functionality,Code completes without errors,25,17,75,"Your analysis was strong and very thorough, but code execution showed some weaknesses. Consider optimizing your queries for efficiency and review formatting and syntax guidelines to improve readability."
Student_9,Correctness/Style,"There a few stylistic errors, but these could be corrected without a major code refactor or code fulfills most requirements, but not all.",25,9,75,"Your analysis was strong and very thorough, but code execution showed some weaknesses. Consider optimizing your queries for efficiency and review formatting and syntax guidelines to improve readability."
Student_9,Analytical Detail,"Analysis includes appropriate statistical tests, model performance metrics, and clear visual exploratory data analysis.",25,24,75,"Your analysis was strong and very thorough, but code execution showed some weaknesses. Consider optimizing your queries for efficiency and review formatting and syntax guidelines to improve readability."
Student_9,Checkpoint Completion,All checkpoints were submitted on time.,25,25,75,"Your analysis was strong and very thorough, but code execution showed some weaknesses. Consider optimizing your queries for efficiency and review formatting and syntax guidelines to improve readability."
Student_10,Functionality,Code completes without errors,25,25,65,"Functional solution, but missed checkpoints hurt your grade."
Student_10,Correctness/Style,Code is stylistically correct and works as planned.,25,19,65,"Functional solution, but missed checkpoints hurt your grade."
Student_10,Analytical Detail,"Analysis includes appropriate statistical tests, model performance metrics, and clear visual exploratory data analysis.",25,21,65,"Functional solution, but missed checkpoints hurt your grade."
Student_10,Checkpoint Completion,Checkpoints were not submitted on time.,25,0,65,"Functional solution, but missed checkpoints hurt your grade."
